education_level,skills,certifications,experience_score,cgpa,career_label
Bachelor,"SQL,Data Warehousing,ETL","Finance,Data Analytics",5,89,Data Scientist
Bachelor,"Graphic Design,Illustration,Adobe Illustrator","Arts,Design",5,86,Software Engineer
Master,"Python,NLP,Deep Learning","AI,Language",5,92,AI Researcher
Bachelor,"Research,Statistical Analysis,R","Academia,Biotech",5,94,Data Scientist
Master,"Project Management,Agile,Communication","Business,Management",5,87,Software Engineer
Master,"Python,Data Visualization,R","Data Analysis,Statistics",5,90,Data Scientist
Bachelor,"Java,Algorithms,Data Structures","Software Development,Coding",5,88,Software Engineer
Bachelor,"UX Research,Prototyping,Interaction Design","Design,User Experience",5,91,Data Scientist
Master,"Cloud Computing,DevOps,Python","Technology,Business",5,91,Software Engineer
Master,"Business Analysis,Excel,SQL","Business,Finance",5,89,Data Scientist
Bachelor,"SQL,Data Analysis,Excel","Business,Analytics",5,88,Data Scientist
Bachelor,"Cloud Computing,Python,DevOps","Technology,Business",5,91,Software Engineer
Master,"Python,Data Analysis,SQL","Finance,Analytics",5,90,Data Scientist
Bachelor,"Java,System Design,Cloud Computing","Software Development,AI",5,90,Software Engineer
Master,"Python,Deep Learning,Statistics","Healthcare,AI",5,93,AI Researcher
Bachelor,"Project Management,Communication,Agile","Business,Management",5,87,Software Engineer
Master,"Digital Marketing,SEO,Content Creation","Marketing,Communications",5,87,Software Engineer
Master,"Python,Data Analysis,Machine Learning","Technology,Data Science",5,87,Data Scientist
PhD,"Java,System Design,Cloud Computing","Software Development,AI",5,88,Software Engineer
Bachelor,"Graphic Design,UI/UX,Adobe Creative Suite","Arts,Digital Media",5,89,Software Engineer
Master,"HTML,CSS,JavaScript","Healthcare,AI",5,90,AI Researcher
PhD,"C++,Embedded Systems,IoT","Business,Management",5,91,Software Engineer
Bachelor,"SQL,Data Warehousing,ETL","Finance,Analytics",5,92,Software Engineer
Master,"JavaScript,React,Node.js","Marketing,Communications",5,93,Data Scientist
PhD,"Digital Marketing,SEO,Content Creation","Cybersecurity,Technology",5,94,Software Engineer
Bachelor,"Project Management,Agile,Communication","Academia,Research",5,95,AI Researcher
Master,"Python,Deep Learning,Statistics","Web Development,Design",5,85,Data Scientist
PhD,"Financial Analysis,Excel,Econometrics","Technology,Data Science",5,86,Data Scientist
Bachelor,"Research,Statistical Analysis,Python","Software Development,AI",5,87,Software Engineer
Master,"Cloud Computing,DevOps,Python","Arts,Digital Media",5,88,Software Engineer
PhD,"Java,Algorithms,Data Structures","Healthcare,AI",5,89,Data Scientist
Bachelor,"UX Research,Prototyping,Interaction Design","Business,Management",5,90,AI Researcher
Master,"Copywriting,SEO,Social Media","Finance,Analytics",5,91,Software Engineer
PhD,"Network Security,Linux,Python","Marketing,Communications",5,92,Data Scientist
Bachelor,"C#,.NET,Software Design","Cybersecurity,Technology",5,93,Software Engineer
Master,"Data Visualization,Python,R","Academia,Research",5,94,Software Engineer
PhD,"Machine Learning,Big Data,Python","Web Development,Design",5,95,Software Engineer
Bachelor,"Python,Data Analysis,Machine Learning","Technology,Data Science",5,85,Data Scientist
Master,"Java,System Design,Cloud Computing","Software Development,AI",5,86,Software Engineer
PhD,"Graphic Design,UI/UX,Adobe Creative Suite","Arts,Digital Media",5,87,Software Engineer
Bachelor,"HTML,CSS,JavaScript","Healthcare,AI",5,88,AI Researcher
Master,"C++,Embedded Systems,IoT","Business,Management",5,89,Cybersecurity Analyst
PhD,"SQL,Data Warehousing,ETL","Finance,Analytics",5,90,Data Scientist
Bachelor,"JavaScript,React,Node.js","Marketing,Communications",5,91,Software Engineer
Master,"Digital Marketing,SEO,Content Creation","Cybersecurity,Technology",5,92,Software Engineer
PhD,"Project Management,Agile,Communication","Academia,Research",5,93,AI Researcher
Bachelor,"Python,Deep Learning,Statistics","Web Development,Design",5,94,Data Scientist
Master,"Financial Analysis,Excel,Econometrics","Technology,Data Science",5,95,Software Engineer
PhD,"Research,Statistical Analysis,Python","Software Development,AI",5,85,Software Engineer
Bachelor,"Cloud Computing,DevOps,Python","Arts,Digital Media",5,86,Data Scientist
Master,"Java,Algorithms,Data Structures","Healthcare,AI",5,87,Software Engineer
PhD,"UX Research,Prototyping,Interaction Design","Business,Management",5,88,Data Scientist
Bachelor,"Copywriting,SEO,Social Media","Finance,Analytics",5,89,Software Engineer
Master,"Network Security,Linux,Python","Marketing,Communications",5,90,Data Scientist
PhD,"C#,.NET,Software Design","Cybersecurity,Technology",5,91,Data Scientist
Bachelor,"Data Visualization,Python,R","Academia,Research",5,92,Software Engineer
Master,"Machine Learning,Big Data,Python","Web Development,Design",5,93,Software Engineer
PhD,"Python,Data Analysis,Machine Learning","Technology,Data Science",5,94,AI Researcher
Bachelor,"Java,System Design,Cloud Computing","Software Development,AI",5,95,Software Engineer
Master,"Graphic Design,UI/UX,Adobe Creative Suite","Arts,Digital Media",5,85,Data Scientist
PhD,"HTML,CSS,JavaScript","Healthcare,AI",5,86,Software Engineer
Bachelor,"C++,Embedded Systems,IoT","Business,Management",5,87,Software Engineer
Master,"SQL,Data Warehousing,ETL","Finance,Analytics",5,88,Data Scientist
PhD,"JavaScript,React,Node.js","Marketing,Communications",5,89,Cybersecurity Analyst
Bachelor,"Digital Marketing,SEO,Content Creation","Cybersecurity,Technology",5,90,Data Scientist
Master,"Project Management,Agile,Communication","Academia,Research",5,91,Software Engineer
PhD,"Python,Deep Learning,Statistics","Web Development,Design",5,92,Software Engineer
Bachelor,"Financial Analysis,Excel,Econometrics","Technology,Data Science",5,93,Data Scientist
Master,"Research,Statistical Analysis,Python","Software Development,AI",5,94,Software Engineer
PhD,"Cloud Computing,DevOps,Python","Arts,Digital Media",5,95,Software Engineer
Bachelor,"Java,Algorithms,Data Structures","Healthcare,AI",5,85,AI Researcher
Master,"UX Research,Prototyping,Interaction Design","Business,Management",5,86,Software Engineer
PhD,"Copywriting,SEO,Social Media","Finance,Analytics",5,87,Software Engineer
Bachelor,"Network Security,Linux,Python","Marketing,Communications",5,88,Data Scientist
Master,"C#,.NET,Software Design","Cybersecurity,Technology",5,89,Software Engineer
PhD,"Data Visualization,Python,R","Academia,Research",5,90,AI Researcher
Bachelor,"Machine Learning,Big Data,Python","Web Development,Design",5,91,Data Scientist
Master,"Python,Data Analysis,Machine Learning","Technology,Data Science",5,92,Data Scientist
PhD,"Java,System Design,Cloud Computing","Software Development,AI",5,93,Software Engineer
Bachelor,"Graphic Design,UI/UX,Adobe Creative Suite","Arts,Digital Media",5,94,Software Engineer
Master,"HTML,CSS,JavaScript","Healthcare,AI",5,95,Data Scientist
PhD,"C++,Embedded Systems,IoT","Business,Management",5,85,AI Researcher
Bachelor,"SQL,Data Warehousing,ETL","Finance,Analytics",5,86,Software Engineer
Master,"JavaScript,React,Node.js","Marketing,Communications",5,87,Data Scientist
PhD,"Digital Marketing,SEO,Content Creation","Cybersecurity,Technology",5,88,Software Engineer
Bachelor,"Project Management,Agile,Communication","Academia,Research",5,89,Software Engineer
Master,"Python,Deep Learning,Statistics","Web Development,Design",5,90,Software Engineer
PhD,"Financial Analysis,Excel,Econometrics","Technology,Data Science",5,91,Data Scientist
Bachelor,"Research,Statistical Analysis,Python","Software Development,AI",5,92,Software Engineer
Master,"Cloud Computing,DevOps,Python","Arts,Digital Media",5,93,Software Engineer
PhD,"Java,Algorithms,Data Structures","Healthcare,AI",5,94,AI Researcher
Bachelor,"UX Research,Prototyping,Interaction Design","Business,Management",5,95,Cybersecurity Analyst
Master,"Copywriting,SEO,Social Media","Finance,Analytics",5,85,Data Scientist
PhD,"Network Security,Linux,Python","Marketing,Communications",5,86,Software Engineer
Bachelor,"C#,.NET,Software Design","Cybersecurity,Technology",5,87,Software Engineer
Master,"Data Visualization,Python,R","Academia,Research",5,88,AI Researcher
PhD,"Machine Learning,Big Data,Python","Web Development,Design",5,89,Data Scientist
Bachelor,"Python,Data Analysis,Machine Learning","Technology,Data Science",5,90,Software Engineer
Master,"Java,System Design,Cloud Computing","Software Development,AI",5,91,Software Engineer
PhD,"Graphic Design,UI/UX,Adobe Creative Suite","Arts,Digital Media",5,92,Data Scientist
Bachelor,"HTML,CSS,JavaScript","Healthcare,AI",5,93,Software Engineer
Master,"C++,Embedded Systems,IoT","Business,Management",5,94,Data Scientist
PhD,"SQL,Data Warehousing,ETL","Finance,Analytics",5,95,Software Engineer
Bachelor,"JavaScript,React,Node.js","Marketing,Communications",5,85,Data Scientist
Master,"Digital Marketing,SEO,Content Creation","Cybersecurity,Technology",5,86,Data Scientist
PhD,"Project Management,Agile,Communication","Academia,Research",5,87,Software Engineer
Bachelor,"Python,Deep Learning,Statistics","Web Development,Design",5,88,Software Engineer
Master,"Financial Analysis,Excel,Econometrics","Technology,Data Science",5,89,AI Researcher
PhD,"Research,Statistical Analysis,Python","Software Development,AI",5,90,Software Engineer
Bachelor,"Cloud Computing,DevOps,Python","Arts,Digital Media",5,91,Data Scientist
Master,"Java,Algorithms,Data Structures","Healthcare,AI",5,92,Software Engineer
PhD,"UX Research,Prototyping,Interaction Design","Business,Management",5,93,Software Engineer
Bachelor,"Copywriting,SEO,Social Media","Finance,Analytics",5,94,Data Scientist
Master,"Network Security,Linux,Python","Marketing,Communications",5,95,Cybersecurity Analyst
PhD,"C#,.NET,Software Design","Cybersecurity,Technology",5,85,Data Scientist
Bachelor,"Data Visualization,Python,R","Academia,Research",5,86,Software Engineer
Master,"Machine Learning,Big Data,Python","Web Development,Design",5,87,Software Engineer
